Metric,Value
True Positive,5
True Negative,5
False Positive,8
False Negative,3
,
Precision,0.38461538461538464
Accuracy,162.5
Recall,0.625
F-Score,0.4761904761904762
True Positive Rate,0.625
False Positive Rate,0.6153846153846154
True Negative Rate,0.375
Positive Likelihood Ratio,1.015625
Negative Likelihood Ratio,0.975
Positive Predictive Value,0.38461538461538464
Negative Predictive Value,0.625
Markedness,0.009615384615384581
